                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2926,                 4.2409,                 4.3629,                0.00285,                0.12687,                0.00187,                0.00071,                 3.6696,                 3.9642,                 4.1594,                  4e-05,                  4e-05,                  4e-05
                      2,                   3.48,                 4.1572,                 4.4127,                0.00287,                0.12687,                0.00182,                 0.0007,                 3.6696,                 3.9644,                 4.1598,               9.01e-05,               9.01e-05,               9.01e-05
                      3,                 3.3463,                 4.1584,                  4.293,                0.00279,                0.12687,                0.00194,                0.00072,                 3.6693,                 3.9657,                 4.1602,             0.00012832,             0.00012832,             0.00012832
                      4,                 3.3969,                 4.0368,                 4.2557,                 0.0028,                0.12687,                0.00181,                 0.0007,                 3.6689,                 3.9668,                 4.1606,             0.00015466,             0.00015466,             0.00015466
                      5,                 3.3206,                 3.9514,                 4.2147,                0.00285,                0.12687,                0.00196,                 0.0007,                 3.6686,                 3.9675,                 4.1612,             0.00016912,             0.00016912,             0.00016912
                      6,                 3.5496,                 3.8584,                 4.1853,                0.00282,                0.12687,                0.00203,                0.00079,                 3.6683,                 3.9678,                 4.1616,              0.0001717,              0.0001717,              0.0001717
                      7,                 3.2087,                 3.6777,                 4.1682,                0.00282,                0.12687,                0.00194,                0.00073,                 3.6683,                 3.9679,                 4.1628,              0.0001624,              0.0001624,              0.0001624
                      8,                 3.2889,                 3.8716,                 4.1919,                0.00286,                0.12687,                0.00196,                0.00075,                  3.668,                 3.9685,                 4.1635,             0.00014122,             0.00014122,             0.00014122
                      9,                 3.2133,                 3.6556,                 4.1476,                0.00285,                0.12687,                0.00208,                 0.0008,                  3.668,                  3.969,                 4.1651,             0.00010816,             0.00010816,             0.00010816
                     10,                 3.0943,                 3.5741,                 4.1123,                0.00282,                0.12687,                0.00198,                0.00078,                 3.6677,                 3.9699,                 4.1659,              6.322e-05,              6.322e-05,              6.322e-05
